                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.91798,                0.49671,                0.92841,                0.97309,                0.96688,                0.98789,                0.80475,                0.92298,                0.46494,                0.94039,              0.0011059,              0.0011059,              0.0011059
                     36,                    0.9,                0.49965,                0.92489,                0.96534,                0.97271,                0.98884,                0.80466,                0.90307,                0.45441,                0.92897,              0.0010894,              0.0010894,              0.0010894
                     37,                0.90816,                0.49426,                0.92293,                0.89996,                0.92335,                0.97931,                0.71944,                 1.1529,                0.56202,                 1.0225,              0.0010729,              0.0010729,              0.0010729
                     38,                0.92399,                0.50886,                0.93384,                0.95551,                0.97483,                0.98787,                0.79104,                0.94044,                0.46972,                0.94503,              0.0010564,              0.0010564,              0.0010564
                     39,                0.88347,                0.48233,                0.91359,                0.96856,                0.97351,                0.99062,                0.79321,                0.95022,                0.46088,                0.94648,              0.0010399,              0.0010399,              0.0010399
                     40,                0.90136,                 0.4862,                0.91963,                0.95752,                 0.9863,                0.99024,                0.80127,                0.94862,                0.46598,                0.94304,              0.0010234,              0.0010234,              0.0010234
                     41,                0.89533,                0.48043,                0.92122,                0.95143,                0.97218,                0.98829,                0.77568,                0.96785,                0.47068,                0.93847,              0.0010069,              0.0010069,              0.0010069
                     42,                0.89282,                0.47892,                 0.9166,                0.97049,                0.96303,                0.98748,                0.80373,                0.92305,                0.44684,                 0.9396,             0.00099036,             0.00099036,             0.00099036
                     43,                0.87738,                0.46764,                0.91176,                0.97143,                0.97132,                0.98423,                0.79861,                 0.9023,                0.45513,                0.92202,             0.00097386,             0.00097386,             0.00097386
                     44,                0.87169,                0.47583,                0.91306,                0.96375,                0.96616,                0.98655,                0.78462,                0.93325,                0.45762,                0.94098,             0.00095736,             0.00095736,             0.00095736
                     45,                0.87626,                0.47033,                 0.9209,                 0.9601,                0.97536,                0.97778,                0.77202,                0.93501,                0.45772,                0.94083,             0.00094085,             0.00094085,             0.00094085
                     46,                0.86002,                0.46818,                0.90632,                0.97745,                  0.971,                0.98938,                0.81099,                0.90431,                0.44489,                0.93369,             0.00092435,             0.00092435,             0.00092435
                     47,                0.87744,                0.47215,                0.91307,                  0.971,                0.97983,                 0.9886,                0.81196,                0.88565,                0.43299,                0.91956,             0.00090785,             0.00090785,             0.00090785
