                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.96798,                0.50863,                0.93706,                0.97299,                0.98141,                0.98695,                  0.785,                0.96813,                0.45861,                0.93968,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.0143,                 0.5233,                0.95016,                0.97402,                 0.9799,                0.99133,                0.78179,                 1.0005,                 0.4679,                0.95329,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.0087,                 0.5286,                0.94815,                0.96787,                 0.9796,                0.98541,                0.77442,                0.99868,                0.47139,                 0.9481,              0.0010729,              0.0010729,              0.0010729
                     38,                0.97372,                0.51335,                 0.9348,                0.97667,                0.97344,                0.99013,                0.80546,                0.92981,                0.44005,                0.93235,              0.0010564,              0.0010564,              0.0010564
                     39,                0.97049,                0.51091,                0.93663,                0.96892,                0.98078,                0.99103,                0.78876,                 0.9513,                0.44628,                0.93708,              0.0010399,              0.0010399,              0.0010399
                     40,                0.97172,                0.50975,                0.93444,                0.98142,                0.98278,                0.99154,                0.77632,                0.97389,                0.46177,                0.94607,              0.0010234,              0.0010234,              0.0010234
                     41,                0.97397,                0.52744,                0.93852,                0.96628,                0.96643,                0.99262,                0.80373,                0.95473,                0.46088,                0.95034,              0.0010069,              0.0010069,              0.0010069
                     42,                0.95015,                0.50441,                0.93091,                0.96066,                0.96441,                0.98644,                0.77541,                0.98082,                 0.4663,                0.95674,             0.00099036,             0.00099036,             0.00099036
                     43,                0.95295,                0.49881,                0.93156,                0.97788,                0.97365,                0.98285,                0.78249,                0.97905,                0.46782,                0.94097,             0.00097386,             0.00097386,             0.00097386
                     44,                0.93772,                0.49106,                0.92982,                0.98738,                0.98092,                0.99106,                0.80854,                0.90831,                0.42724,                0.93199,             0.00095736,             0.00095736,             0.00095736
                     45,                0.95481,                0.49667,                  0.941,                0.96532,                0.98216,                0.99175,                0.80151,                0.90123,                0.43781,                0.92563,             0.00094085,             0.00094085,             0.00094085
                     46,                0.94627,                0.49294,                0.92851,                0.97652,                0.98508,                0.99288,                0.79593,                 0.9559,                0.43884,                0.94382,             0.00092435,             0.00092435,             0.00092435
                     47,                0.93818,                0.48307,                0.92377,                0.98037,                0.96347,                0.98658,                0.79021,                 0.9859,                0.46006,                0.95019,             0.00090785,             0.00090785,             0.00090785
                     48,                0.94501,                0.49344,                0.92518,                0.97786,                0.98284,                 0.9832,                0.80731,                0.90506,                0.42218,                0.92581,             0.00089134,             0.00089134,             0.00089134
                     49,                0.92946,                0.47806,                0.91824,                 0.9737,                0.98278,                0.99147,                0.80019,                0.90953,                0.43767,                0.92751,             0.00087484,             0.00087484,             0.00087484
                     50,                0.94502,                0.49407,                0.92727,                0.97249,                0.98042,                0.98484,                0.79314,                0.94884,                0.44336,                0.94031,             0.00085834,             0.00085834,             0.00085834
                     51,                0.90913,                0.47416,                0.92457,                 0.9723,                0.97377,                0.99102,                0.77265,                0.99646,                0.44076,                 0.9546,             0.00084184,             0.00084184,             0.00084184
                     52,                0.92157,                0.47883,                  0.925,                0.97914,                0.98649,                0.98329,                0.79464,                0.92351,                0.42911,                0.92417,             0.00082533,             0.00082533,             0.00082533
                     53,                0.92348,                0.47724,                0.91934,                0.97842,                 0.9788,                 0.9932,                0.79287,                0.94473,                0.43097,                0.94124,             0.00080883,             0.00080883,             0.00080883
                     54,                0.90995,                0.46811,                0.91833,                0.95153,                0.98928,                0.98887,                 0.7969,                0.95575,                0.43093,                0.93809,             0.00079233,             0.00079233,             0.00079233
                     55,                0.89686,                0.46807,                0.91416,                0.97241,                0.95299,                0.98348,                0.79985,                0.93697,                0.43906,                 0.9354,             0.00077582,             0.00077582,             0.00077582
                     56,                0.90727,                0.47374,                0.91968,                0.97474,                0.96752,                0.99064,                0.80968,                0.93889,                0.43068,                0.93639,             0.00075932,             0.00075932,             0.00075932
                     57,                0.91952,                0.46164,                0.92268,                0.96502,                0.97319,                0.98976,                0.80494,                 0.8899,                0.41944,                0.92227,             0.00074282,             0.00074282,             0.00074282
                     58,                0.91485,                0.46597,                0.92129,                0.98249,                0.97271,                0.98728,                0.78637,                 1.0422,                0.44087,                 0.9682,             0.00072631,             0.00072631,             0.00072631
                     59,                  0.892,                 0.4527,                0.91517,                0.97987,                0.98331,                0.97874,                0.79639,                0.90633,                0.41671,                0.93318,             0.00070981,             0.00070981,             0.00070981
                     60,                0.88043,                0.44914,                0.90522,                0.97921,                0.98382,                0.98878,                0.82429,                0.89506,                0.41184,                0.92347,             0.00069331,             0.00069331,             0.00069331
                     61,                0.88117,                0.44622,                0.91261,                0.97913,                0.98236,                0.98057,                0.80391,                0.91768,                0.42063,                0.92688,              0.0006768,              0.0006768,              0.0006768
                     62,                0.88224,                0.45024,                0.91138,                0.97191,                0.98655,                0.98395,                0.80365,                0.88944,                0.40607,                0.92232,              0.0006603,              0.0006603,              0.0006603
                     63,                0.87875,                0.45157,                0.91078,                0.97659,                0.98497,                0.97771,                0.79297,                0.89319,                0.40631,                0.92232,              0.0006438,              0.0006438,              0.0006438
