                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    106,                0.97552,                 1.3671,                0.60041,                0.93518,                0.92698,                0.89773,                0.95154,                0.68304,                0.93067,                0.81358,                0.89416,                0.43858,                 1.0723,                 1.5166,                0.60263,                0.99258,               0.001538,               0.001538,               0.001538
                    107,                0.98912,                 1.3798,                0.60179,                0.93838,                0.95431,                0.90909,                0.96166,                0.72082,                0.89816,                 0.8447,                0.89809,                0.47715,                0.96407,                 1.5465,                0.56524,                 0.9753,              0.0015336,              0.0015336,              0.0015336
                    108,                0.99091,                 1.3798,                0.61158,                0.94628,                0.93822,                0.88636,                0.94413,                  0.683,                0.89743,                0.83333,                 0.8942,                 0.4249,                 1.0447,                 1.5879,                0.59858,                0.99707,              0.0015292,              0.0015292,              0.0015292
                    109,                0.96672,                 1.3219,                0.59831,                0.93737,                0.91228,                0.90608,                0.96169,                0.69305,                0.91877,                0.83712,                0.90274,                0.42984,                   1.06,                 1.5782,                 0.6019,                0.99103,              0.0015248,              0.0015248,              0.0015248
                    110,                0.94006,                 1.3081,                0.57022,                0.92739,                 0.9121,                0.90406,                0.95102,                 0.6844,                0.89736,                0.83333,                0.89284,                0.42309,                    1.1,                 1.6305,                0.59574,                0.99869,              0.0015204,              0.0015204,              0.0015204
                    111,                0.95054,                 1.3129,                0.59054,                0.93602,                0.92562,                0.90152,                0.95186,                0.69648,                0.92592,                0.79924,                0.88669,                 0.4757,                 1.0127,                 1.4498,                0.57563,                0.96978,               0.001516,               0.001516,               0.001516
                    112,                0.97349,                 1.3152,                0.61939,                0.93503,                0.92379,                0.91826,                0.94678,                0.69038,                0.88796,                0.81054,                0.83666,                0.38792,                 1.0099,                 1.6384,                 0.5888,                0.97569,              0.0015116,              0.0015116,              0.0015116
                    113,                0.96269,                 1.3613,                0.58705,                 0.9298,                0.93679,                0.89822,                0.94678,                0.68595,                0.90496,                0.82951,                0.85959,                0.41737,                 1.0088,                 1.5109,                0.60669,                0.97369,              0.0015072,              0.0015072,              0.0015072
                    114,                0.93558,                 1.2522,                0.58623,                0.93111,                0.93268,                0.92045,                0.95181,                0.69225,                0.89983,                  0.875,                0.90237,                0.40191,                 1.0115,                 1.5147,                0.55932,                0.97131,              0.0015028,              0.0015028,              0.0015028
                    115,                0.95637,                 1.2728,                0.59026,                0.93075,                0.91716,                0.92262,                0.96955,                0.71984,                0.93738,                0.83712,                0.92009,                0.43239,                0.97615,                 1.4147,                0.58335,                 0.9649,              0.0014984,              0.0014984,              0.0014984
                    116,                0.98739,                 1.3256,                0.59834,                0.94569,                0.92866,                0.90909,                0.94355,                0.71148,                0.93411,                 0.8592,                0.90504,                0.45296,                0.99468,                 1.4929,                 0.5709,                0.97004,               0.001494,               0.001494,               0.001494
                    117,                0.96417,                 1.2756,                0.59803,                0.92208,                0.95167,                 0.9053,                0.95722,                 0.7117,                0.92464,                0.85227,                0.90578,                0.41273,                 1.0144,                   1.55,                0.58484,                0.97723,              0.0014896,              0.0014896,              0.0014896
                    118,                 1.0002,                 1.3419,                0.62015,                0.93414,                0.90672,                 0.9205,                 0.9553,                0.68625,                0.89927,                0.84091,                0.88235,                  0.398,                 1.0543,                  1.728,                0.59316,                0.98212,              0.0014852,              0.0014852,              0.0014852
                    119,                0.96729,                 1.3567,                0.59121,                0.92746,                0.95967,                0.87121,                0.95445,                0.69682,                0.91082,                0.83333,                0.88534,                0.43056,                 1.0516,                 1.5709,                0.58105,                0.97982,              0.0014808,              0.0014808,              0.0014808
                    120,                0.91946,                 1.2758,                0.57424,                0.90484,                0.93082,                0.86646,                0.94641,                0.67107,                0.91857,                0.82955,                0.88777,                 0.3879,                 1.1195,                  1.612,                0.62117,                 1.0077,              0.0014764,              0.0014764,              0.0014764
                    121,                 0.9779,                 1.3139,                0.59516,                0.94843,                0.95169,                0.89554,                0.95029,                0.72886,                0.91938,                0.86394,                0.90054,                0.46079,                0.94193,                 1.5771,                0.56235,                0.94955,               0.001472,               0.001472,               0.001472
                    122,                0.98409,                 1.3861,                0.59576,                 0.9295,                0.93439,                0.91703,                0.95575,                0.73165,                0.90366,                0.85273,                0.89266,                0.45892,                0.91428,                 1.4971,                0.56488,                0.93909,              0.0014676,              0.0014676,              0.0014676
                    123,                0.99113,                 1.3537,                0.59172,                0.93987,                0.92444,                0.92692,                0.96536,                0.70596,                0.90236,                0.84019,                 0.8932,                0.45049,                 1.0261,                 1.5735,                0.58284,                0.97399,              0.0014632,              0.0014632,              0.0014632
                    124,                 1.0364,                  1.372,                0.61358,                0.97449,                0.91156,                0.93182,                0.96526,                0.70569,                0.91421,                0.84767,                0.90443,                 0.4648,                 1.0062,                 1.5143,                 0.5726,                0.98263,              0.0014588,              0.0014588,              0.0014588
                    125,                0.98184,                 1.3625,                0.59071,                0.93617,                0.93019,                0.90856,                0.96109,                0.70839,                0.92596,                0.85264,                0.89809,                 0.4001,                0.98675,                 1.6812,                0.57842,                0.97292,              0.0014544,              0.0014544,              0.0014544
                    126,                0.97966,                 1.3469,                0.60765,                   0.94,                0.93672,                0.89394,                0.96546,                0.68907,                0.91395,                0.86742,                 0.9116,                 0.4247,                 1.0163,                 1.5933,                0.60226,                0.97867,                0.00145,                0.00145,                0.00145
                    127,                 1.0365,                 1.3809,                0.63032,                0.94904,                0.88464,                0.92424,                0.95885,                 0.6817,                  0.913,                 0.8447,                0.90858,                0.47746,                 1.0637,                 1.4173,                0.61185,                0.98373,              0.0014456,              0.0014456,              0.0014456
                    128,                0.98758,                 1.3729,                0.59475,                0.95098,                0.92286,                0.90636,                0.95988,                0.68947,                 0.9047,                0.84091,                0.89475,                0.41896,                 1.0552,                 1.6993,                0.58594,                0.98663,              0.0014412,              0.0014412,              0.0014412
                    129,                0.94068,                 1.3365,                0.57534,                0.92753,                0.93074,                 0.9053,                0.95264,                0.70536,                0.91903,                0.85227,                0.90248,                0.42948,                0.98663,                  1.535,                0.57157,                 0.9738,              0.0014368,              0.0014368,              0.0014368
                    130,                0.96977,                 1.3308,                0.57511,                0.92346,                0.94758,                0.89014,                0.94449,                0.70495,                0.92446,                0.83442,                0.88849,                0.48247,                0.98149,                  1.475,                0.56844,                0.96675,              0.0014324,              0.0014324,              0.0014324
                    131,                 0.9581,                 1.2971,                0.57881,                0.92366,                0.93423,                0.91288,                0.96151,                0.72626,                0.89682,                0.85985,                0.89468,                0.45303,                0.92394,                 1.4531,                 0.5557,                0.95149,               0.001428,               0.001428,               0.001428
                    132,                0.94963,                 1.3089,                0.58085,                0.93457,                0.93793,                0.91667,                0.96222,                0.73823,                0.91453,                0.85227,                0.90806,                0.45642,                 0.9271,                 1.5208,                0.53958,                0.95447,              0.0014236,              0.0014236,              0.0014236
                    133,                0.90292,                 1.2654,                  0.574,                0.92299,                0.91422,                0.92803,                0.95747,                0.69313,                0.91477,                0.85377,                0.91219,                0.42727,                 1.0602,                 1.5287,                0.58279,                0.98554,              0.0014192,              0.0014192,              0.0014192
                    134,                0.94412,                 1.2771,                0.57587,                0.91615,                0.91895,                0.93561,                0.96466,                0.71766,                0.93741,                0.81818,                0.91053,                0.49545,                0.98339,                 1.4226,                0.57293,                0.97258,              0.0014148,              0.0014148,              0.0014148
                    135,                0.96355,                  1.346,                0.59307,                0.93128,                0.92441,                 0.9264,                0.96435,                0.72442,                0.87724,                0.86619,                0.90358,                0.43246,                0.95535,                 1.5915,                0.55904,                0.96779,              0.0014104,              0.0014104,              0.0014104
                    136,                0.90264,                 1.3161,                0.56275,                0.92471,                0.94799,                0.89394,                0.96608,                0.72516,                0.91752,                0.86364,                0.91987,                0.46246,                0.97919,                 1.4249,                0.57075,                 0.9691,               0.001406,               0.001406,               0.001406
                    137,                0.95946,                  1.268,                 0.5764,                0.93214,                0.92529,                0.92424,                0.95869,                0.74193,                0.90848,                0.86481,                 0.9072,                0.44885,                0.90047,                 1.5594,                0.54134,                0.94661,              0.0014016,              0.0014016,              0.0014016
                    138,                0.94788,                 1.2999,                0.56878,                0.93223,                0.93093,                0.91894,                0.95801,                0.75084,                0.93108,                0.85985,                0.92637,                0.52202,                0.88573,                 1.4486,                0.53114,                0.94818,              0.0013972,              0.0013972,              0.0013972
                    139,                0.92177,                 1.2403,                0.57485,                0.92667,                0.94371,                0.87879,                0.95659,                 0.6588,                0.90655,                0.82197,                 0.8779,                0.37276,                 1.1719,                 1.6963,                0.61042,                 1.0229,              0.0013928,              0.0013928,              0.0013928
                    140,                0.91633,                 1.2766,                0.56246,                0.91575,                0.94352,                0.90909,                0.96251,                0.73324,                0.92076,                0.88258,                0.91267,                0.48356,                0.91162,                 1.4719,                0.54184,                0.95304,              0.0013884,              0.0013884,              0.0013884
                    141,                0.98681,                 1.3259,                0.58257,                0.94163,                0.91782,                0.94318,                 0.9635,                0.71073,                0.92245,                0.83712,                0.90339,                0.43625,                 1.0023,                 1.6422,                0.58625,                0.97501,               0.001384,               0.001384,               0.001384
                    142,                0.93977,                 1.3019,                0.56999,                0.91653,                0.92453,                0.92424,                0.96453,                0.71919,                0.90117,                0.85227,                0.89853,                0.45531,                0.99709,                 1.5046,                0.57052,                 0.9774,              0.0013796,              0.0013796,              0.0013796
                    143,                 0.9476,                 1.3418,                0.57295,                0.92448,                0.94735,                0.89773,                0.95004,                0.66796,                0.93331,                0.84812,                0.90375,                0.42279,                  1.055,                  1.567,                0.58662,                0.99695,              0.0013752,              0.0013752,              0.0013752
                    144,                 0.9749,                 1.3488,                  0.578,                0.93601,                0.97472,                0.89773,                0.94704,                0.72196,                0.91885,                0.85781,                0.89563,                0.45397,                0.90681,                 1.5292,                0.54416,                0.95237,              0.0013708,              0.0013708,              0.0013708
                    145,                0.92007,                 1.2401,                0.55715,                0.93072,                0.95552,                0.91667,                0.95498,                0.70724,                0.93451,                0.87121,                0.91157,                0.45329,                0.97638,                 1.4111,                0.55765,                0.96225,              0.0013664,              0.0013664,              0.0013664
                    146,                0.92674,                 1.3009,                0.55536,                  0.912,                0.96444,                0.90152,                0.95804,                0.71134,                0.93403,                0.85813,                 0.9095,                0.43252,                0.97823,                 1.6589,                0.54994,                0.96429,               0.001362,               0.001362,               0.001362
                    147,                0.89381,                 1.2247,                0.54363,                0.92353,                0.97239,                0.91288,                0.96644,                0.72458,                0.92901,                0.85985,                 0.9049,                0.45978,                0.94215,                 1.5108,                0.54923,                0.95604,              0.0013576,              0.0013576,              0.0013576
                    148,                0.94126,                 1.2562,                0.56321,                0.93082,                 0.9561,                0.93182,                0.96563,                0.69942,                0.93346,                0.86742,                0.91217,                0.42926,                 1.0139,                 1.6039,                0.56826,                 0.9762,              0.0013532,              0.0013532,              0.0013532
                    149,                0.91423,                 1.2369,                0.56655,                0.92909,                0.94927,                0.91667,                0.96398,                 0.7366,                0.93467,                0.86704,                 0.9147,                0.46002,                0.88638,                  1.361,                0.53038,                0.94621,              0.0013488,              0.0013488,              0.0013488
                    150,                0.92362,                 1.2817,                0.54116,                  0.929,                0.96111,                0.92045,                0.95995,                0.72339,                0.93063,                0.86364,                0.91597,                0.42821,                 0.9556,                 1.5667,                0.53525,                0.95569,              0.0013444,              0.0013444,              0.0013444
                    151,                0.91631,                 1.2743,                0.54736,                 0.9173,                0.96515,                0.89773,                0.95385,                 0.7124,                0.92961,                0.85044,                0.90512,                 0.4528,                 0.9674,                 1.4234,                0.53895,                0.95918,                0.00134,                0.00134,                0.00134
                    152,                0.93108,                 1.2717,                0.54925,                 0.9312,                0.93596,                0.88571,                0.94755,                0.69687,                0.92824,                0.86364,                0.90446,                0.38488,                 1.0573,                 1.7384,                0.56171,                0.98781,              0.0013356,              0.0013356,              0.0013356
                    153,                0.87918,                 1.1894,                0.54196,                0.90364,                0.95201,                0.90178,                0.94759,                 0.7196,                 0.9281,                0.88016,                0.91192,                 0.4936,                0.95213,                 1.5029,                0.53731,                0.96543,              0.0013312,              0.0013312,              0.0013312
                    154,                0.93617,                 1.2643,                0.55573,                0.92479,                0.95113,                0.88475,                0.94812,                0.68356,                0.92385,                 0.8447,                0.89203,                0.40108,                 1.0496,                 1.6455,                0.56574,                0.98493,              0.0013268,              0.0013268,              0.0013268
                    155,                0.90651,                 1.2158,                0.53062,                0.90804,                0.95918,                0.89011,                0.94841,                0.71725,                 0.9354,                0.82278,                0.88552,                0.48112,                0.92643,                 1.4772,                0.53319,                0.96838,              0.0013224,              0.0013224,              0.0013224
                    156,                0.90856,                 1.2663,                0.54795,                  0.924,                0.94252,                0.93173,                0.96335,                0.71998,                0.91576,                0.83333,                0.88451,                0.43336,                 0.9728,                    1.5,                0.53844,                0.96895,               0.001318,               0.001318,               0.001318
                    157,                0.92029,                 1.2834,                0.55671,                0.92306,                0.94204,                0.90909,                0.95772,                0.71819,                0.91904,                0.84848,                0.90988,                0.48275,                0.96084,                 1.4861,                 0.5421,                 0.9617,              0.0013136,              0.0013136,              0.0013136
                    158,                0.89595,                 1.2162,                0.55634,                0.91396,                0.92748,                0.90909,                0.95672,                0.72339,                0.90184,                0.87001,                0.90552,                0.46753,                0.93499,                  1.475,                0.53498,                0.95497,              0.0013092,              0.0013092,              0.0013092
                    159,                0.89789,                 1.2626,                0.53666,                0.91335,                0.94259,                0.91667,                0.96089,                0.72825,                0.91284,                0.87273,                0.91529,                0.47599,                0.93827,                 1.5305,                0.53572,                0.95948,              0.0013048,              0.0013048,              0.0013048
                    160,                0.92568,                 1.2178,                  0.548,                0.91621,                0.94431,                0.89773,                0.95798,                0.71979,                0.92721,                0.86851,                0.91659,                0.48176,                0.94418,                 1.4287,                0.54239,                0.96027,              0.0013004,              0.0013004,              0.0013004
                    161,                0.91259,                 1.2854,                0.53615,                0.91737,                 0.9608,                 0.9053,                0.96431,                0.71822,                 0.9353,                0.84848,                0.90304,                0.42745,                0.95385,                 1.6105,                0.55827,                0.95485,               0.001296,               0.001296,               0.001296
                    162,                0.88186,                 1.1985,                0.52862,                0.91479,                 0.9466,                0.91667,                 0.9612,                0.72526,                0.92407,                 0.8447,                0.91307,                0.48213,                0.90535,                 1.4001,                0.53399,                0.94466,              0.0012916,              0.0012916,              0.0012916
                    163,                0.87157,                 1.2446,                0.52294,                0.90432,                0.94465,                0.91667,                0.95429,                0.71519,                0.89606,                0.88258,                0.92081,                0.45445,                0.99626,                 1.5306,                 0.5379,                0.96311,              0.0012872,              0.0012872,              0.0012872
                    164,                  0.907,                 1.1936,                0.53246,                0.91827,                0.92749,                0.92062,                0.95965,                0.70724,                0.94925,                0.84091,                0.91851,                0.44455,                  1.019,                 1.5695,                0.54305,                0.97027,              0.0012828,              0.0012828,              0.0012828
                    165,                0.89366,                 1.2158,                0.54024,                0.90536,                0.94113,                0.90837,                 0.9611,                0.70996,                0.91005,                0.84313,                0.89448,                0.42729,                0.99199,                 1.5567,                0.55631,                0.95983,              0.0012784,              0.0012784,              0.0012784
                    166,                0.90675,                 1.2269,                0.54125,                 0.9011,                0.96253,                 0.9053,                0.96201,                 0.7294,                0.92065,                0.85606,                0.91421,                0.48166,                0.94889,                 1.4059,                0.54548,                0.95052,               0.001274,               0.001274,               0.001274
                    167,                0.89724,                 1.2206,                0.54258,                0.90386,                0.95662,                0.93561,                0.96543,                0.73774,                0.93848,                0.86674,                0.92117,                0.46431,                0.90737,                 1.5046,                0.53255,                0.94059,              0.0012696,              0.0012696,              0.0012696
                    168,                0.86313,                 1.2014,                0.52172,                0.89558,                 0.9712,                0.91667,                0.96546,                 0.7473,                0.94582,                0.85963,                0.91899,                0.47945,                0.89366,                 1.5502,                0.51497,                 0.9357,              0.0012652,              0.0012652,              0.0012652
                    169,                0.86792,                 1.2191,                0.51614,                0.89755,                0.95596,                0.90455,                0.95629,                0.72583,                0.90141,                0.86583,                0.91302,                0.45705,                0.97635,                 1.4952,                0.52947,                 0.9562,              0.0012608,              0.0012608,              0.0012608
                    170,                 0.8969,                   1.24,                0.54588,                0.90946,                0.94345,                0.91288,                0.96289,                0.72252,                 0.9343,                0.86188,                0.92381,                0.46488,                0.94566,                 1.5094,                0.54314,                 0.9503,              0.0012564,              0.0012564,              0.0012564
                    171,                0.92316,                  1.248,                0.54164,                0.91005,                0.93778,                0.91353,                0.95453,                0.73073,                0.92796,                0.86742,                0.91811,                0.43617,                0.90903,                 1.4962,                0.52777,                0.94596,               0.001252,               0.001252,               0.001252
                    172,                0.88018,                 1.2038,                0.53251,                0.91388,                0.95257,                0.91289,                0.96636,                0.71092,                0.93195,                0.85985,                 0.9037,                0.45019,                0.99979,                 1.4512,                0.55417,                0.96597,              0.0012476,              0.0012476,              0.0012476
                    173,                0.93636,                 1.2409,                0.55961,                0.90454,                0.95769,                0.90152,                0.96573,                0.71865,                0.92034,                0.86364,                0.90379,                0.49225,                0.97068,                 1.4827,                0.56151,                0.96207,              0.0012432,              0.0012432,              0.0012432
                    174,                0.90642,                 1.2518,                0.53906,                0.93184,                0.92874,                0.91288,                0.95925,                0.72954,                0.93301,                0.84848,                 0.9214,                0.44584,                0.92752,                  1.465,                0.56215,                 0.9491,              0.0012388,              0.0012388,              0.0012388
                    175,                0.91558,                 1.2521,                0.54389,                0.91684,                0.93217,                0.94697,                 0.9674,                 0.7197,                0.92972,                 0.8519,                0.91023,                0.45934,                0.96057,                 1.5228,                0.55308,                0.95934,              0.0012344,              0.0012344,              0.0012344
                    176,                0.86938,                 1.2054,                0.54746,                0.90589,                0.94269,                0.93463,                 0.9668,                0.72504,                0.91715,                0.88054,                0.92532,                0.46831,                0.92715,                 1.4152,                0.54985,                0.94903,                0.00123,                0.00123,                0.00123
                    177,                0.90963,                 1.2106,                0.53377,                 0.9044,                0.95639,                0.91377,                0.96595,                0.74126,                0.92548,                 0.8447,                0.90303,                0.46113,                0.90313,                 1.5175,                 0.5272,                0.94447,              0.0012256,              0.0012256,              0.0012256
                    178,                0.88057,                 1.1911,                 0.5147,                0.88719,                 0.9758,                0.91641,                0.96848,                0.72087,                 0.9278,                0.86742,                0.92021,                0.48271,                0.97193,                 1.4868,                0.53232,                0.96937,              0.0012212,              0.0012212,              0.0012212
                    179,                 0.8914,                 1.1895,                 0.5297,                0.90188,                0.96402,                0.92803,                0.96619,                0.73586,                 0.9197,                0.88258,                0.92001,                0.49535,                0.93625,                 1.3994,                0.52807,                0.95882,              0.0012168,              0.0012168,              0.0012168
                    180,                0.85643,                 1.1889,                0.50802,                0.88699,                0.95678,                0.92249,                0.96525,                0.72864,                 0.9301,                0.85677,                0.91743,                0.46676,                0.94213,                 1.6725,                0.51927,                0.94934,              0.0012124,              0.0012124,              0.0012124
                    181,                0.84341,                 1.2071,                0.51479,                0.90171,                0.96163,                0.92045,                0.96162,                0.74421,                0.92484,                0.86742,                 0.9196,                0.53944,                0.89357,                   1.31,                0.50859,                0.94071,               0.001208,               0.001208,               0.001208
                    182,                0.88876,                 1.2079,                0.52171,                0.90516,                0.95172,                0.91667,                0.95581,                 0.6977,                0.94621,                0.86364,                0.92066,                0.42308,                 1.0432,                 1.5871,                0.54582,                0.98779,              0.0012036,              0.0012036,              0.0012036
                    183,                0.91387,                 1.2021,                0.53051,                0.91231,                0.97143,                0.90168,                0.95238,                0.73826,                0.93302,                0.84419,                0.90408,                 0.4615,                0.93507,                 1.4974,                0.51948,                0.95697,              0.0011992,              0.0011992,              0.0011992
                    184,                0.90107,                 1.2525,                0.53066,                0.90248,                0.93121,                0.92424,                0.95978,                0.74678,                0.93494,                0.84848,                0.91741,                0.50848,                0.90591,                  1.459,                0.53063,                 0.9522,              0.0011948,              0.0011948,              0.0011948
                    185,                0.85841,                 1.2097,                0.52095,                0.89959,                0.94937,                0.92424,                0.96652,                0.72148,                0.92262,                0.85816,                0.91328,                0.45397,                0.96443,                 1.5434,                0.53877,                0.95526,              0.0011904,              0.0011904,              0.0011904
                    186,                0.85852,                 1.1845,                0.50928,                0.89468,                0.95993,                0.90909,                0.96611,                0.74048,                0.92378,                0.87227,                 0.9184,                0.46106,                0.93018,                 1.4854,                0.51237,                0.94766,               0.001186,               0.001186,               0.001186
                    187,                0.83359,                 1.1374,                0.50265,                0.90114,                 0.9431,                0.92424,                0.96294,                0.73966,                0.94022,                0.85985,                0.92864,                0.46448,                0.93402,                 1.4834,                0.52155,                0.95355,              0.0011816,              0.0011816,              0.0011816
                    188,                0.86662,                 1.1667,                0.51493,                0.90244,                0.94206,                0.92389,                0.96682,                0.71146,                0.92461,                0.87121,                0.91128,                0.45621,                 1.0162,                 1.4911,                0.53828,                0.97286,              0.0011772,              0.0011772,              0.0011772
                    189,                0.87165,                   1.23,                0.51783,                0.89178,                0.96291,                0.91667,                0.96574,                0.74552,                0.92416,                0.87879,                0.92163,                0.48125,                0.91572,                 1.4178,                0.51222,                0.95001,              0.0011728,              0.0011728,              0.0011728
                    190,                0.83716,                 1.1488,                0.50725,                0.91055,                0.96581,                 0.9053,                 0.9644,                0.73973,                0.92164,                0.85985,                0.91013,                0.47019,                0.92195,                 1.5015,                0.53548,                0.95306,              0.0011684,              0.0011684,              0.0011684
                    191,                0.84891,                 1.1298,                0.49688,                 0.9183,                0.94572,                0.92391,                0.95943,                0.72501,                0.95228,                0.85606,                0.92708,                 0.4601,                0.95467,                 1.4475,                0.52523,                0.95534,               0.001164,               0.001164,               0.001164
                    192,                0.85759,                 1.1655,                0.52131,                 0.9071,                0.96786,                0.92045,                0.96376,                0.73944,                0.91611,                0.86742,                0.91464,                0.50355,                0.89929,                 1.4461,                0.50239,                0.94519,              0.0011596,              0.0011596,              0.0011596
                    193,                0.85092,                 1.1952,                0.50762,                0.89191,                0.95011,                0.93784,                0.96584,                 0.7021,                0.92467,                0.83695,                0.89406,                0.43711,                 1.0025,                 1.5687,                0.53614,                0.97312,              0.0011552,              0.0011552,              0.0011552
                    194,                0.85804,                 1.2268,                0.50841,                0.89608,                0.95678,                0.91667,                0.96504,                 0.7251,                0.92659,                0.86058,                0.91842,                0.47387,                0.94477,                 1.4458,                0.51761,                0.95445,              0.0011508,              0.0011508,              0.0011508
                    195,                0.89151,                 1.2326,                0.53017,                0.89829,                0.94606,                0.91667,                0.96963,                 0.7451,                0.93714,                0.84707,                0.91595,                0.45014,                0.91618,                 1.5275,                0.50397,                0.94368,              0.0011464,              0.0011464,              0.0011464
                    196,                0.85505,                 1.1707,                 0.5183,                0.90734,                0.97843,                0.91288,                0.97418,                0.75117,                0.92999,                0.85606,                0.92171,                0.49485,                0.89955,                 1.3398,                0.49438,                0.94175,               0.001142,               0.001142,               0.001142
                    197,                0.87798,                 1.1812,                0.51258,                0.90013,                0.96792,                0.91445,                0.97479,                0.73664,                0.92864,                  0.875,                0.91756,                0.43821,                0.96608,                 1.5205,                0.51381,                0.95598,              0.0011376,              0.0011376,              0.0011376
                    198,                0.83116,                 1.1571,                0.50227,                0.89927,                 0.9646,                0.92889,                0.97406,                 0.7472,                0.94352,                0.88258,                0.92887,                0.50182,                0.89447,                 1.3624,                0.49098,                0.94713,              0.0011332,              0.0011332,              0.0011332
                    199,                0.85624,                 1.1761,                0.51092,                0.89552,                0.97576,                0.91487,                0.96894,                0.72785,                0.94225,                0.87879,                0.92646,                0.46486,                0.95755,                 1.5076,                0.51361,                0.96668,              0.0011288,              0.0011288,              0.0011288
