                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     23,                 1.2562,                 1.7439,                 0.8881,                 1.0526,                0.88291,                0.87121,                0.93719,                0.61544,                0.87864,                0.74242,                0.76154,                0.29397,                 1.2147,                 1.8323,                 0.7766,                  1.059,              0.0019032,              0.0019032,              0.0019032
                     24,                 1.2259,                 1.7145,                0.85833,                 1.0265,                 0.9655,                0.84809,                 0.9361,                0.60464,                 0.8521,                0.74196,                0.74643,                0.25143,                 1.2549,                 1.9934,                0.78606,                 1.0523,              0.0018988,              0.0018988,              0.0018988
                     25,                 1.2693,                 1.7735,                0.91098,                 1.0529,                0.96907,                 0.8307,                0.93327,                0.60579,                0.87811,                0.76406,                0.76622,                0.34154,                 1.2058,                 1.7419,                0.83372,                 1.0626,              0.0018944,              0.0018944,              0.0018944
                     26,                 1.2748,                 1.7727,                0.87968,                 1.0488,                0.94282,                0.86364,                0.93746,                0.53506,                0.82306,                0.74242,                0.73697,                0.20717,                 1.3473,                 1.9435,                0.80745,                 1.0794,                0.00189,                0.00189,                0.00189
                     27,                 1.2861,                 1.7377,                0.85148,                 1.0181,                0.94292,                0.86364,                0.93063,                0.60519,                0.88743,                0.77652,                0.77148,                0.32765,                 1.1156,                  1.774,                0.76874,                 1.0146,              0.0018856,              0.0018856,              0.0018856
                     28,                 1.3691,                 1.7204,                0.89228,                  1.037,                0.89261,                 0.8447,                0.92729,                0.59785,                0.83982,                0.73483,                 0.7479,                0.29371,                 1.2296,                 1.7687,                0.79385,                 1.0469,              0.0018812,              0.0018812,              0.0018812
                     29,                 1.3175,                 1.7051,                0.86399,                 1.0542,                 0.9071,                0.85606,                 0.9291,                0.64043,                0.81426,                0.76387,                0.73049,                0.29522,                 1.1061,                 1.9744,                0.76037,                 1.0349,              0.0018768,              0.0018768,              0.0018768
                     30,                 1.2758,                 1.7864,                0.87457,                 1.0618,                0.86916,                 0.9053,                0.94727,                 0.6682,                0.86754,                0.74427,                0.76451,                0.31969,                  1.101,                 1.7833,                0.75525,                 1.0377,              0.0018724,              0.0018724,              0.0018724
                     31,                 1.2166,                  1.721,                0.82528,                 1.0481,                0.93372,                 0.8447,                0.93694,                0.64244,                0.86355,                 0.7803,                0.80363,                 0.3153,                 1.1678,                 2.0743,                0.79053,                 1.0415,               0.001868,               0.001868,               0.001868
                     32,                 1.1864,                 1.6146,                0.81882,                 1.0103,                0.95313,                 0.8447,                0.94328,                0.65661,                0.88615,                0.76136,                0.79854,                0.32313,                 1.0637,                 1.8122,                0.69446,                  1.005,              0.0018636,              0.0018636,              0.0018636
